model,style,few_shot,n,balanced_accuracy,ci_low,ci_high,accuracy,auc,f1,fpr,fnr,mean_overall,file
deepseek-r1,default,0,60,0.5833333333333334,0.4872080088987764,0.6821266968325792,0.5833333333333334,0.6694444444444444,0.6835443037974683,0.7333333333333333,0.1,6.966666666666667,metrics_deepseek-r1__default__fs0.json
gemini-2.0-flash,default,0,60,0.5166666666666667,0.5,0.5540540540540541,0.5166666666666667,0.5944444444444444,0.6741573033707865,0.9666666666666667,0.0,7.033333333333333,metrics_gemini-2.0-flash__default__fs0.json
gemini-2.5-flash,cot,0,58,0.5976190476190476,0.5065710872162486,0.6911589008363201,0.5862068965517241,0.6648809523809524,0.6842105263157894,0.7333333333333333,0.07142857142857142,6.888888888888889,metrics_gemini-2.5-flash__cot__fs0.json
gemini-2.5-flash,cot,2,59,0.5660919540229885,0.494815668202765,0.6451612903225806,0.559322033898305,0.667816091954023,0.6829268292682926,0.8333333333333334,0.034482758620689655,7.0,metrics_gemini-2.5-flash__cot__fs2.json
gemini-2.5-flash,default,0,60,0.5333333333333333,0.5,0.5833333333333334,0.5333333333333333,0.6311111111111111,0.6818181818181819,0.9333333333333333,0.0,7.3,metrics_gemini-2.5-flash__default__fs0.json
gemini-2.5-flash,default,2,60,0.5666666666666667,0.5151515151515151,0.6333333333333333,0.5666666666666667,0.7255555555555555,0.6976744186046512,0.8666666666666667,0.0,7.35,metrics_gemini-2.5-flash__default__fs2.json
gemini-2.5-flash,plain,0,59,0.5862068965517242,0.5192307692307693,0.6607142857142857,0.5932203389830508,0.767816091954023,0.7142857142857143,0.8275862068965517,0.0,6.796610169491525,metrics_gemini-2.5-flash__plain__fs0.json
gemini-2.5-flash,plain,2,60,0.6,0.532258064516129,0.6739130434782609,0.6,0.7222222222222222,0.7142857142857143,0.8,0.0,6.85,metrics_gemini-2.5-flash__plain__fs2.json
gemini-2.5-flash,rubric_first,0,60,0.5666666666666667,0.5147058823529411,0.6323529411764706,0.5666666666666667,0.6588888888888889,0.6976744186046512,0.8666666666666667,0.0,7.066666666666666,metrics_gemini-2.5-flash__rubric_first__fs0.json
gemini-2.5-flash,rubric_first,2,60,0.5666666666666667,0.5151515151515151,0.6323529411764706,0.5666666666666667,0.63,0.6976744186046512,0.8666666666666667,0.0,7.1,metrics_gemini-2.5-flash__rubric_first__fs2.json
